,album_id,album_name,release_date,artist_name
0,7cN9KS7I77TwOIrEKO96TE,"Morissette at 14, Vol. 2",2021-06-25,Morissette
1,4dCZOd9u35GrSSNSQ2NEyX,"Morissette at 14, Vol. 1",2020-11-20,Morissette
2,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette
3,4Y9ORFmONJauGSoXqiyKAi,Pagbigyang Muli,2022-09-23,Morissette
4,5jmkAHm38kIEjH40Veza8F,Undangon Ta Ni,2022-07-31,Morissette
5,2qEpe7vjn1IdsI6rHg9Aoi,Power (Miss Universe Philippines 2022),2022-07-15,Morissette
6,1nuPkAbvm2WQKqP2I8myGo,Phoenix (Acoustic Version),2022-03-11,Morissette
7,05RICu0AxsqrqoiSzzxeyG,"Gusto Ko Nang Bumitaw (From ""The Broken Marriage Vow"")",2022-02-11,Morissette
8,2SEG5KY1qzrRb89ODOSDmy,From The Sea,2022-01-28,From The Sea
9,7hTQ3O7l6TMD90cUWdnYTz,Signature: Live!,2021-12-17,Morissette
10,15VKUmSwQUtEtXhi7XNUM9,WATERWALK,2021-10-28,Morissette
11,2pAPyuSNRYzYUVQq0f5nXs,Signature,2021-08-20,Morissette
12,0MzpfJ6qCjledyXSrDBEPK,Shine (25th Anniversary Version),2021-05-21,Morissette
13,2h0tRuNbVeRfOibujJbIUw,Phoenix,2021-02-19,Morissette
14,3XZCedQsI0e7g3oqpBkIBv,Love You Still,2020-11-27,Morissette
15,5aRqiwVBgyvIgvPcqJhCHK,Diyan Ba Sa Langit (Midnite Remix),2020-10-30,Morissette
16,7aEoslLTLV409pniQKt9HF,Akin Ka Na Lang (Latin Version),2020-06-26,Morissette
17,5zI7YWTwkFuoKmHnpQZphX,Heaven Knows,2020-02-14,Rick Price
18,6K7DJdaeHTRFiQRANEAshu,Miss Kita Kung Christmas,2019-12-20,Morissette
19,4MKrpzNRaNRbzOZnDe7BXg,This is Christmas,2019-11-08,Ben Adams
0,2llKDRAV8NAkGnKcSGi2ls,Tala: The Film Concert (Live),2021-03-28,Sarah Geronimo
1,17cPwu5tm8zltul1NUKxzN,This 15 Me,2018-04-13,Sarah Geronimo
2,7oZVQrwrQyq7Y3I2m06oeN,The Great Unknown,2015,Sarah Geronimo
3,6Y2ZjMM4LkF8fHElhyxIo0,Perfectly Imperfect,2014,Sarah Geronimo
4,7pZrk5iAAlu7eOvkEZk01b,Expressions,2013-07-22,Sarah Geronimo
5,2PSnI87oSGSZV2J0t7dXJi,OPM Back to Back Hits of Regine Velasquez & Sarah Geronimo,2013,Regine Velasquez
6,2DGZZcEhiEVJt1VtflTehb,OPM Side By Side Hits of Sarah Geronimo & Mark Bautista,2012-03-13,Sarah Geronimo
7,1UAwPyLNLgyYbyEQVbRDto,Pure Opm Classics,2012,Sarah Geronimo
8,02uvCtR7z44TvPxzaAdPP1,One Heart,2011-05-13,Sarah Geronimo
9,4V6U0RuKAg9HCA3GnG8Jpu,Your Christmas Girl,2009-10-20,Sarah Geronimo
10,5xrEZPCxBxzdgVSVvG89e3,OPM,2008-12-22,Sarah Geronimo
11,16EnRzlx3k0Uw4MmTqpFHu,Just Me Repackaged,2008-09-09,Sarah Geronimo
12,54G0rnujSsSIzMyXHvwPTJ,Just Me,2008-04-01,Sarah Geronimo
13,7HaFpq6ecUdsB0Bae7l2w4,Taking Flight,2007-07-27,Sarah Geronimo
14,54H8hAfQKDpT2qt6mjx6wC,Becoming,2006-07-20,Sarah Geronimo
15,6UCVoV3f0U5mPYMccfPCeD,Becoming,2006-04-01,Sarah Geronimo
16,72p3F85AZsf1xCKOzybIZr,Sweet Sixteen,2004-12-11,Sarah Geronimo
17,21fv7LEZrxKsItIkW046Ac,Just Me Repackaged,2003,Sarah Geronimo
18,0vWLVoS1AcxTICsK49VfUj,Dati-Dati,2022-10-07,Sarah Geronimo
19,6P1YM5ziaz8LMJNRu3BGMD,Your Universe,2020-11-06,Sarah Geronimo
0,6l66KKNnlK1J57T5ZP7cgT,@LoveAngelineQuinto,2017-01-29,Angeline Quinto
1,4bpsBYxWMOYwx97J7A2ukQ,Sana Bukas Pa Ang Kahapon,2014-01-01,Angeline Quinto
2,7xsQux4teIA3Y1XpXVErsv,Higher Love,2013-01-01,Angeline Quinto
3,1NLAbqGR6v7026Bw5CqLcT,Patuloy Ang Pangarap,2011-01-01,Angeline Quinto
4,5TfhffQlrHgut9DNFys1mN,Nag-iisa Lang (For Baby Sylvio),2022-05-27,Angeline Quinto
5,4ilbU1wjdeO5BXOZ89IDRm,"Walang Pagsisisi (From ""The Broken Marriage Vow"")",2022-02-11,Angeline Quinto
6,1FxInF7rt1HHIT1mL72gQB,Wag Mo Akong Iwan Mag-isa,2021-12-03,Angeline Quinto
7,4NVhzuYVMFTr8uMDPPLSPj,Salamat Sa 'Yo,2021-11-26,Angeline Quinto
8,1YJCTKFdb0xk9oh5mb1m6S,Maputing Pasko,2021-11-19,Coco Martin
9,2arQyttD7PXIUakitj5QkQ,"Live Christ, Share Christ",2021-04-16,Angeline Quinto
10,7bYjjWE4GMn6bJfPiuGent,Huwag Kang Mangamba,2021-02-12,Angeline Quinto
11,7iwE9OzYGMBKYrFkVId2M1,Sana Sana 2020 (Zumba Remix),2020-03-06,Angeline Quinto
12,7k2TMddVUybbGMDN1EOm22,Tulong Taal (A Musical Collaboration For Taal Rehabilitation),2020-01-25,Angeline Quinto
13,0jcRRHfTbScXIE9qBkOFdp,Tulong Taal (Instrumental),2020-01-25,Angeline Quinto
14,7vwguXyfFGi9LhUwU45l6k,Aking Pagmamahal,2019-08-04,Angeline Quinto
15,7LZtt4y7K8vjQkAf2Jopoo,Kusa,2019-07-26,Angeline Quinto
16,7mXHjWKdskCxxdX2OmHyqQ,Maraming Salamat Mahal (Awit Ni Lola Fe),2019-05-24,Angeline Quinto
17,2UGvJjiwfddGatwmIJY7Xu,At Ang Hirap,2017-01-18,Angeline Quinto
18,1IKEUa9ciV9hwPQgXOf4rG,Kailangan Kita,2016-03-03,Angeline Quinto
19,3wRs3sCQZOanJuCNbQUpze,This I Promise You,2015-07-21,Erik Santos
